category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_NNT,192,0.002,68.0,0.152
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_TNT,264,0.002,62.1,0.138
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_NNT,470,0.002,31.0,0.116
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_TNT,446,0.002,38.0,0.129
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_NNT,308,0.002,36.1,0.124
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_TNT,284,0.002,36.9,0.146
gemm,nvjet_sm103_tst_192x256_64x5_2x1_2cta_v_bz_TNT,48,0.002,258.7,0.262
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT,318,0.002,53.3,0.177
gemm,nvjet_sm103_tst_256x120_64x4_1x4f_h_bz_TNT,196,0.002,115.4,0.242
gemm,nvjet_sm103_tst_256x136_64x4_1x4_h_bz_TNT,290,0.002,65.8,0.113
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_NNT,207,0.002,86.6,0.218
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_NNT,65,0.002,244.8,0.302
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_TNT,64,0.002,249.9,0.332
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_TNT,120,0.002,99.8,0.12
gemm,nvjet_sm103_tst_32x256_64x6_1x2_2cta_h_bz_splitK_NNN,64,0.002,198.8,0.203
gemm,nvjet_sm103_tst_32x64_64x16_1x2_2cta_h_bz_splitK_NTN,624,0.002,21.3,0.024
gemm,nvjet_sm103_tst_64x16_64x16_2x2_2cta_h_bz_TNT,456,0.002,30.9,0.113
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_TNT,386,0.002,29.4,0.119
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT,390,0.002,30.7,0.119
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_TNT,514,0.002,30.1,0.116
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_TNT,480,0.002,23.9,0.072
gemm,nvjet_sm103_tst_96x64_64x15_2x2_2cta_h_bz_TNN,1068,0.002,16.4,0.033
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_NNT,104,0.001,42.3,0.076
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_TNT,116,0.001,46.1,0.134
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_TNT,224,0.001,20.7,0.038
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_NNT,131,0.001,31.6,0.063
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_TNT,262,0.001,20.1,0.038
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_NNT,125,0.001,38.6,0.09
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_TNT,156,0.001,42.6,0.078
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_NNT,124,0.001,46.5,0.083
gemm,nvjet_sm103_tst_128x120_64x6_2x1_v_bz_TNT,182,0.001,21.9,0.05
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_TNT,244,0.001,20.5,0.036
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT,278,0.001,41.5,0.12
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_TNT,188,0.001,22.1,0.034
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_NNT,91,0.001,45.9,0.085
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_TNT,142,0.001,49.9,0.117
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_NNT,206,0.001,36.3,0.108
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_TNT,250,0.001,21.1,0.033
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_NNT,99,0.001,43.5,0.132
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_NNT,68,0.001,73.2,0.092
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_TNT,136,0.001,38.0,0.05
gemm,nvjet_sm103_tst_128x168_64x5_4x1_v_bz_TNT,84,0.001,54.6,0.131
