category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x24_64x11_1x4_h_bz_NNT,61,0.0,30.8,0.062
gemm,nvjet_sm103_tst_128x24_64x11_2x1_v_bz_splitK_NNT,76,0.0,28.5,0.088
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_TNT,198,0.0,15.5,0.031
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_NNT,32,0.0,70.9,0.148
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_TNT,42,0.0,101.6,0.149
gemm,nvjet_sm103_tst_128x272_64x4_4x1_v_bz_TNT,4,0.0,63.6,0.067
gemm,nvjet_sm103_tst_128x40_64x10_1x4_h_bz_NNT,95,0.0,32.0,0.087
gemm,nvjet_sm103_tst_128x416_64x5_2x1_2cta_v_bz_NNT,2,0.0,136.0,0.137
gemm,nvjet_sm103_tst_128x56_64x9_1x4_h_bz_NNT,30,0.0,32.8,0.064
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_NNT,65,0.0,30.5,0.054
gemm,nvjet_sm103_tst_128x64_64x8_1x4_h_bz_NNT,72,0.0,37.0,0.088
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_NNT,88,0.0,36.8,0.074
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_TNT,90,0.0,20.8,0.039
gemm,nvjet_sm103_tst_160x192_64x5_1x2_2cta_h_bz_NNN,1,0.0,71.6,0.072
gemm,nvjet_sm103_tst_160x192_64x5_2x2f_2cta_h_bz_NNN,5,0.0,129.3,0.149
gemm,nvjet_sm103_tst_176x128_64x8_2x2f_2cta_h_bz_TNN,92,0.0,39.9,0.057
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_NNT,88,0.0,37.8,0.056
gemm,nvjet_sm103_tst_192x128_64x6_2x1_2cta_v_bz_NNT,66,0.0,12.5,0.218
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_TNT,38,0.0,56.6,0.085
gemm,nvjet_sm103_tst_192x128_64x6_2x2f_2cta_h_bz_TNT,12,0.0,82.7,0.195
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_NNT,5,0.0,63.8,0.101
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_TNT,10,0.0,33.3,0.053
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_NNT,13,0.0,66.5,0.128
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_TNT,32,0.0,42.9,0.118
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_NNT,73,0.0,44.1,0.076
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_NNT,1,0.0,78.3,0.078
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_TNT,20,0.0,91.2,0.134
gemm,nvjet_sm103_tst_192x176_64x6_2x2f_2cta_h_bz_TNT,8,0.0,96.7,0.209
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_NNT,56,0.0,48.9,0.067
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_TNT,112,0.0,26.9,0.042
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_TNT,18,0.0,182.9,0.31
gemm,nvjet_sm103_tst_192x256_64x5_2x2_2cta_h_bz_NNT,3,0.0,57.5,0.06
gemm,nvjet_sm103_tst_192x80_64x7_2x2_2cta_h_bz_NNT,5,0.0,35.7,0.055
gemm,nvjet_sm103_tst_192x80_64x7_2x2_2cta_h_bz_TNT,10,0.0,20.8,0.023
gemm,nvjet_sm103_tst_192x96_64x7_2x1_2cta_v_bz_TNT,6,0.0,27.8,0.029
