category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_192x128_64x6_2x2f_2cta_h_bz_TNT,12,0.0,88.8,0.102
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_NNT,3,0.0,61.1,0.061
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_TNT,6,0.0,34.5,0.041
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_NNT,12,0.0,83.2,0.135
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_TNT,40,0.0,57.6,0.225
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_NNT,74,0.0,44.2,0.067
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_NNT,1,0.0,88.9,0.089
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_TNT,8,0.0,88.7,0.125
gemm,nvjet_sm103_tst_192x176_64x6_2x2f_2cta_h_bz_TNT,4,0.0,93.8,0.121
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_NNT,49,0.0,49.4,0.071
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_TNT,98,0.0,27.2,0.042
gemm,nvjet_sm103_tst_192x256_64x5_2x2_2cta_h_bz_NNT,2,0.0,46.0,0.057
gemm,nvjet_sm103_tst_192x80_64x7_2x2_2cta_h_bz_NNT,3,0.0,35.3,0.037
gemm,nvjet_sm103_tst_192x80_64x7_2x2_2cta_h_bz_TNT,6,0.0,21.2,0.024
gemm,nvjet_sm103_tst_192x96_64x7_2x1_2cta_v_bz_TNT,6,0.0,28.5,0.029
gemm,nvjet_sm103_tst_192x96_64x7_2x2_2cta_h_bz_TNT,12,0.0,49.1,0.08
