category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT,321,0.001,33.6,0.108
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_NNT,108,0.001,37.8,0.077
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_TNT,262,0.001,41.2,0.091
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_NNT,167,0.001,32.2,0.12
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_TNT,280,0.001,19.9,0.044
gemm,nvjet_sm103_tst_128x80_64x10_2x1_2cta_v_bz_TNT,302,0.001,19.2,0.029
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_NNT,251,0.001,34.8,0.108
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_NNT,115,0.001,41.8,0.129
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_TNT,154,0.001,44.8,0.129
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_NNT,136,0.001,40.8,0.127
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_NNT,283,0.001,34.8,0.136
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_TNT,278,0.001,19.7,0.041
gemm,nvjet_sm103_tst_128x96_64x9_2x2_2cta_h_bz_TNT,202,0.001,40.6,0.133
gemm,nvjet_sm103_tst_160x192_64x6_2x2f_2cta_h_bz_TNN,78,0.001,112.8,0.214
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_NNT,151,0.001,40.9,0.091
gemm,nvjet_sm103_tst_192x144_64x6_2x2_2cta_h_bz_TNT,164,0.001,59.7,0.095
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_NNT,124,0.001,70.2,0.118
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_TNT,248,0.001,37.5,0.066
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_NNT,171,0.001,48.4,0.103
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_TNT,192,0.001,41.7,0.146
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_NNT,76,0.001,112.9,0.145
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_TNT,30,0.001,170.9,0.283
gemm,nvjet_sm103_tst_256x112_64x5_2x1_2cta_v_bz_NNT,56,0.001,96.3,0.146
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT,84,0.001,67.8,0.127
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_NNT,81,0.001,113.0,0.205
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_NNT,114,0.001,86.1,0.14
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_TNT,102,0.001,101.0,0.122
gemm,nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_NTN,64,0.001,186.3,0.191
gemm,nvjet_sm103_tst_32x384_64x4_1x4_2cta_h_bz_splitK_NTN,24,0.001,226.0,0.231
gemm,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN,558,0.001,15.7,0.048
gemm,nvjet_sm103_tst_64x112_64x14_2x2_2cta_h_bz_TNT,200,0.001,32.4,0.116
gemm,nvjet_sm103_tst_64x16_64x16_4x1_2cta_v_bz_TNT,310,0.001,14.3,0.026
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_splitK_NNT,189,0.001,21.2,0.064
gemm,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT,624,0.001,10.1,0.011
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NNT,157,0.001,25.2,0.124
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT,362,0.001,28.1,0.071
gemm,nvjet_sm103_tst_64x40_64x16_2x2_h_bz_TNT,126,0.001,30.7,0.07
gemm,nvjet_sm103_tst_64x48_64x16_2x1_2cta_v_bz_NNT,130,0.001,29.9,0.137
gemm,nvjet_sm103_tst_64x48_64x16_2x2_2cta_h_bz_TNT,310,0.001,30.7,0.116
gemm,nvjet_sm103_tst_64x72_64x12_4x1_v_bz_TNT,234,0.001,33.8,0.112
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_NNT,171,0.001,25.3,0.093
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_TNT,250,0.001,29.4,0.113
gemm,nvjet_sm103_tst_64x88_64x11_4x1_v_bz_TNT,134,0.001,35.7,0.073
gemm,nvjet_sm103_tst_64x8_64x16_2x2_h_bz_TNT,274,0.001,30.5,0.11
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_NNT,253,0.001,22.0,0.046
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT,506,0.001,14.3,0.029
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT,253,0.001,16.9,0.061
gemm,nvjet_sm103_tst_64x96_64x15_2x2_2cta_h_bz_TNT,242,0.001,32.4,0.095
gemm,nvjet_sm103_tst_96x128_64x7_4x1_v_bz_TNN,208,0.001,44.5,0.081
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_TNN,248,0.001,19.2,0.05
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_NNT,109,0.0,31.6,0.087
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_NNT,74,0.0,38.1,0.095
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_NNT,90,0.0,43.8,0.083
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_TNT,34,0.0,109.5,0.155
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_NNT,4,0.0,29.3,0.047
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_TNT,8,0.0,24.9,0.027
gemm,nvjet_sm103_tst_128x168_64x5_4x1_v_bz_TNT,54,0.0,56.5,0.096
gemm,nvjet_sm103_tst_128x16_64x11_1x2_h_bz_NNT,102,0.0,24.9,0.082
gemm,nvjet_sm103_tst_128x16_64x12_2x2_2cta_h_bz_TNT,204,0.0,15.8,0.03
gemm,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_NNT,6,0.0,139.3,0.262
gemm,nvjet_sm103_tst_128x200_64x5_2x1_v_bz_NNT,26,0.0,60.9,0.161
gemm,nvjet_sm103_tst_128x216_64x4_4x1_v_bz_TNT,44,0.0,59.9,0.096
gemm,nvjet_sm103_tst_128x24_64x11_1x2_h_bz_NNT,26,0.0,25.2,0.044
gemm,nvjet_sm103_tst_128x24_64x11_1x4_h_bz_NNT,59,0.0,29.2,0.072
gemm,nvjet_sm103_tst_128x24_64x11_2x1_v_bz_splitK_NNT,89,0.0,26.5,0.093
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_TNT,208,0.0,15.2,0.029
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_TNT,2,0.0,268.2,0.283
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_TNT,50,0.0,91.2,0.199
gemm,nvjet_sm103_tst_128x272_64x4_4x1_v_bz_TNT,4,0.0,63.1,0.07
gemm,nvjet_sm103_tst_128x40_64x10_1x4_h_bz_NNT,94,0.0,31.7,0.074
gemm,nvjet_sm103_tst_128x416_64x5_2x1_2cta_v_bz_NNT,1,0.0,109.8,0.11
gemm,nvjet_sm103_tst_128x56_64x9_1x4_h_bz_NNT,40,0.0,35.3,0.069
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_NNT,67,0.0,30.9,0.047
gemm,nvjet_sm103_tst_128x64_64x8_1x4_h_bz_NNT,58,0.0,34.7,0.075
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_TNT,108,0.0,20.4,0.039
gemm,nvjet_sm103_tst_160x192_64x5_1x2_2cta_h_bz_NNN,3,0.0,70.8,0.119
gemm,nvjet_sm103_tst_160x192_64x5_2x2f_2cta_h_bz_NNN,2,0.0,138.1,0.15
gemm,nvjet_sm103_tst_176x128_64x8_2x2f_2cta_h_bz_TNN,64,0.0,38.6,0.048
